date	AAPL	AU	SIMO	SIRI	SPY	TSLA
2023-10-31	-0.0025699310863205316	0.12911402367097513	0.04546330542043364	-0.05309739018760429	-0.021708625272792936	-0.19734635377632148
2023-11-30	0.11378002722361202	0.0790357291402346	0.10685246275238902	0.09945489031317756	0.09134377285770445	0.19537943740621833
2023-12-29	0.01358265393060143	-0.029090721791158236	0.042006763640289435	0.16880348952349156	0.04565544274769784	0.03498831153123483
2024-01-31	-0.04222729444509565	-0.0572498748470579	0.027909269761969835	-0.06946978943517845	0.01592645171427942	-0.2462572581033916
2024-02-29	-0.01854292886599107	0.05618615890604817	0.13218587805950555	-0.12698143908234794	0.052186785307856365	0.07790064669600238
2024-03-28	-0.05128645734801163	0.21329859877932655	0.08687659493494526	-0.122172079289111	0.032702084367585815	-0.12923524353897475
2024-04-30	-0.006706317788891303	0.03558545393290702	-0.040681073059503525	-0.2422679704891304	-0.04031973136534972	0.042607689739043275
2024-05-31	0.130222282333454	0.05219665612809288	0.06470491424846903	-0.03233346865385034	0.050579574867280375	-0.02837187354253501
2024-06-28	0.09555259594692234	0.0388589819279046	0.037136588399887094	0.0035459688145931256	0.035280106532598055	0.11118599982126098
2024-07-31	0.054410857279600044	0.11738971760460215	-0.14261006215061434	0.21908128441146846	0.012109153269930228	0.17278149180183244
2024-08-30	0.03235355420680941	0.06429320395270266	-0.07662780230983135	-0.03815847165455466	0.023365582716998956	-0.0773904690267696
2024-09-30	0.017467205936556596	-0.10246047408174475	-0.04451789567626241	-0.2811550276543988	0.021004700867818693	0.22194201175563144
2024-10-31	-0.03042919963095314	0.043935492264965736	-0.11409280323276971	0.12727271959430952	-0.008923564198756617	-0.045025412068364745
2024-11-29	0.05170692422492418	-0.10287762603966666	-0.004285324845136551	0.02151439491644691	0.0596335230039704	0.3814688622385136
2024-12-31	0.055155291044891586	-0.07457908892850995	0.01846618144263168	-0.15398883915293404	-0.024060181740644615	0.17000808915631316
2025-01-31	-0.05758324593089459	0.3089254773477441	0.010360769304763373	0.05307019909073385	0.026856415559588065	0.0018819576379678349
2025-02-28	0.02587240700071991	-0.02449514939281905	0.036831541397346124	0.018106154019300158	-0.01269487750556797	-0.2758773935575025
2025-03-31	-0.0815001347836245	0.2869422815977196	-0.09875216803747411	-0.06779660879888605	-0.05571919842012785	-0.11543452131892018
2025-04-30	-0.043353014323267214	0.13577595876504756	-0.02096523715107612	-0.050110801771787505	-0.008670139114213993	0.08874826236685496
2025-05-30	-0.05358406523857118	0.042093745096609014	0.24806060358807036	0.024878432916805693	0.06284494761614745	0.2278848417863253
2025-06-30	0.021508544579914135	0.040173498844168654	0.22826789181075546	0.059501722826071246	0.05138613494267763	-0.08312644606383923
2025-07-31	0.011697684229461824	0.014922094310843681	0.018225420987231677	-0.08053978407627738	0.023031548217528286	-0.02955995259140498
2025-08-29	0.11963891074454747	0.24322032947800087	0.047865012875801805	0.13368201921818357	0.020519507582030583	0.08304410748975077
