date	AAPL	AU	SIMO	SIRI	SPY	TSLA
2023-09-29	169.54928588867188	14.83222770690918	48.000606536865234	41.95927810668945	417.86566162109375	250.22000122070312
2023-10-31	169.11355590820312	16.747276306152344	50.1828727722168	39.73134994506836	408.79437255859375	200.83999633789062
2023-11-30	188.3553009033203	18.07090950012207	55.54503631591797	43.68282699584961	446.13519287109375	240.0800018310547
2023-12-29	190.91366577148438	17.54521369934082	57.87830352783203	51.056640625	466.5036926269531	248.47999572753906
2024-01-31	182.85189819335938	16.540752410888672	59.49364471435547	47.50974655151367	473.9334411621094	187.2899932861328
2024-02-29	179.46128845214844	17.47011375427246	67.35786437988281	41.476890563964844	498.66650390625	201.8800048828125
2024-03-28	170.25735473632812	21.19646453857422	73.20968627929688	36.40957260131836	514.9739379882812	175.7899932861328
2024-04-30	169.1155548095703	21.95075035095215	70.23143768310547	27.588699340820312	494.2103271484375	183.27999877929688
2024-05-31	191.13816833496094	23.096506118774414	74.7757568359375	26.6966609954834	519.207275390625	178.0800018310547
2024-06-28	209.40191650390625	23.9940128326416	77.55267333984375	26.79132652282715	537.5249633789062	197.8800048828125
2024-07-31	220.795654296875	26.8106632232666	66.49288177490234	32.660804748535156	544.033935546875	232.07000732421875
2024-08-30	227.93917846679688	28.534406661987305	61.39767837524414	31.414518356323242	556.74560546875	214.11000061035156
2024-09-30	231.92063903808594	25.61075782775879	58.66438293457031	22.582168579101562	568.4398803710938	261.6300048828125
2024-10-31	224.8634796142578	26.735979080200195	51.97119903564453	25.456262588500977	563.3673706054688	249.85000610351562
2024-11-29	236.490478515625	23.985445022583008	51.74848556518555	26.003938674926758	596.9629516601562	345.1600036621094
2024-12-31	249.5341796875	22.196632385253906	52.70408248901367	21.999622344970703	582.5999145507812	403.8399963378906
2025-01-31	235.16519165039062	29.05373764038086	53.25013732910156	23.167146682739258	598.2464599609375	404.6000061035156
2025-02-28	241.24948120117188	28.34206199645996	55.211421966552734	23.58661460876465	590.6517944335938	292.9800109863281
2025-03-31	221.58761596679688	36.4745979309082	49.75917434692383	21.98752212524414	557.7411499023438	259.1600036621094
2025-04-30	211.9811248779297	41.426971435546875	48.71596145629883	20.885709762573242	552.9054565429688	282.1600036621094
2025-05-30	200.622314453125	43.1707878112793	60.800472259521484	21.40531349182129	587.6527709960938	346.4599914550781
2025-06-30	204.93740844726562	44.90510940551758	74.67926788330078	22.678966522216797	617.8499755859375	317.6600036621094
2025-07-31	207.33470153808594	45.57518768310547	76.04032897949219	20.852407455444336	632.0800170898438	308.2699890136719
2025-08-29	232.13999938964844	56.65999984741211	79.68000030517578	23.639999389648438	645.0499877929688	333.8699951171875
