index	return	risk	AAPL	AU	SIMO	SIRI	SPY	TSLA
0	0.025229734662645713	0.03057106341603294	0.16147399808535537	0.135658212320583	-5.691959731318849e-20	-1.8890285860698174e-20	0.7028677895940618	-1.4108146949739478e-20
1	0.02563447834884694	0.030590881682838342	0.15885400223242924	0.14420938638244696	-5.64728059014635e-20	-1.874859881376157e-20	0.6969366113851239	-1.3994511618260665e-20
2	0.026039222035048167	0.030650259597144285	0.1562340063795032	0.15276056044431097	-5.602610426644826e-20	-1.860090627882427e-20	0.6910054331761859	-1.3885106684947146e-20
3	0.026443965721249393	0.030748967984370955	0.1536140105265771	0.16131173450617492	-5.558344495446574e-20	-1.8451498526837818e-20	0.6850742549672479	-1.3775293041652318e-20
4	0.02684870940745062	0.03088662976642189	0.150994014673651	0.16986290856803885	-5.51377324894945e-20	-1.8305649612997846e-20	0.6791430767583101	-1.366390470342483e-20
5	0.02725345309365185	0.031062727054216945	0.14837401882072487	0.17841408262990285	-5.469106383953937e-20	-1.8156336826971438e-20	0.6732118985493721	-1.3553091255082363e-20
6	0.02765819677985308	0.031276610642046204	0.1457540229677988	0.1869652566917669	-5.424678023504705e-20	-1.8010094456878934e-20	0.6672807203404342	-1.344204302874295e-20
7	0.02806294046605431	0.03152751150909549	0.14313402711487275	0.19551643075363084	-5.380218039086106e-20	-1.7863766553975787e-20	0.6613495421314963	-1.3332946861288487e-20
8	0.028467684152255535	0.03181455387320012	0.14051403126194673	0.2040676048154947	-5.33561841375179e-20	-1.7709691198590627e-20	0.6554183639225585	-1.3223705415305358e-20
9	0.02887242783845677	0.0321367693123931	0.1378940354090206	0.21261877887735878	-5.291115502456305e-20	-1.7568972114935195e-20	0.6494871857136205	-1.311063257972067e-20
10	0.029277171524657995	0.032493111470245556	0.13527403955609452	0.2211699529392227	-5.246722359186095e-20	-1.7420106422260968e-20	0.6435560075046828	-1.3000804484857674e-20
11	0.029681915210859226	0.032881545522731745	0.13231356035265054	0.22949647291988698	-5.48780119456617e-20	-2.323070430246952e-20	0.636613003808674	0.001576962918788421
12	0.03008665889706045	0.03329733105653018	0.1291358690104776	0.2376796743113241	-5.427941318536874e-20	-2.2971039124506554e-20	0.6290245037095883	0.004159952968610062
13	0.030491402583261676	0.03373908985637861	0.12595817766830453	0.24586287570276125	-5.3680873546379575e-20	-2.2722437677894304e-20	0.6214360036105024	0.00674294301843172
14	0.030896146269462906	0.034205815624091494	0.12278048632613152	0.25404607709419846	-5.307797720649901e-20	-2.2464982986080475e-20	0.6138475035114166	0.009325933068253392
15	0.03130088995566413	0.03469650083230044	0.11960279498395847	0.2622292784856355	-5.248094225507392e-20	-2.2206696700901774e-20	0.606259003412331	0.011908923118075022
16	0.031705633641865356	0.035210143805815976	0.11642510364178539	0.27041247987707273	-5.188162818874565e-20	-2.1954621426012862e-20	0.5986705033132451	0.01449191316789671
17	0.03211037732806659	0.03574575489440094	0.11324741229961229	0.27859568126851	-5.1281286338297677e-20	-2.1698225766319463e-20	0.5910820032141594	0.0170749032177184
18	0.032515121014267824	0.036301408311347746	0.11152510983437922	0.2863977652837884	0.0033368137696576975	-2.0508459969746882e-19	0.5789034200526442	0.019836891059530546
19	0.03291986470046905	0.03687387828010205	0.11029636382514008	0.29407060347035324	0.007805219242809954	-1.991830241992376e-19	0.5651682322166391	0.022659581245057635
20	0.03332460838667028	0.03746228762476221	0.1090676178159008	0.3017434416569181	0.012273624715962203	-1.9326546923449659e-19	0.5514330443806343	0.025482271430584718
21	0.033729352072871505	0.03806589719658631	0.10783887180666156	0.30941627984348297	0.016742030189114406	-1.8735863001764978e-19	0.5376978565446293	0.028304961616111807
22	0.03413409575907274	0.03868399546734773	0.10661012579742224	0.317089118030048	0.021210435662266852	-1.8144416352588727e-19	0.5239626687086237	0.03112765180163903
23	0.03453883944527396	0.039315899098081364	0.10538137978818303	0.3247619562166127	0.025678841135418982	-1.7552329729151347e-19	0.5102274808726193	0.03395034198716604
24	0.034943583131475185	0.039960953180564744	0.10415263377894383	0.3324347944031776	0.030147246608571304	-1.696108098010523e-19	0.49649229303661396	0.036773032172693176
25	0.03534832681767641	0.040618531201215224	0.10292388776970451	0.3401076325897424	0.03461565208172349	-1.6370170236864832e-19	0.48275710520060927	0.03959572235822025
26	0.03575307050387764	0.04128803477310271	0.10169514176046535	0.3477804707763073	0.03908405755487568	-1.5778043550041696e-19	0.46902191736460436	0.04241841254374732
27	0.03615781419007886	0.04196889317746915	0.10046639575122611	0.35545330896287214	0.04355246302802798	-1.5187966770937244e-19	0.4552867295285993	0.04524110272927442
28	0.036562557876280107	0.042660562751735145	0.09923764974198686	0.36312614714943714	0.048020868501180286	-1.459582037581476e-19	0.44155154169259425	0.04806379291480156
29	0.036967301562481326	0.04336252615662147	0.09800890373274761	0.3707989853360019	0.05248927397433248	-1.400538477327452e-19	0.42781635385658945	0.05088648310032863
30	0.03737204524868256	0.04407429155084251	0.09678015772350844	0.3784718235225669	0.05695767944748479	-1.341358423415914e-19	0.4140811660205841	0.05370917328585576
31	0.03777678893488378	0.04479539169791562	0.09555141171426909	0.38614466170913175	0.061426084920636996	-1.2821441641829397e-19	0.4003459781845793	0.05653186347138285
32	0.038181532621085014	0.04552538302603004	0.0943226657050299	0.39381749989569664	0.06589449039378929	-1.223058598112218e-19	0.3866107903485742	0.05935455365690995
33	0.03858627630728623	0.04626384465865147	0.09309391969579063	0.40149033808226137	0.07036289586694135	-1.1640197700133905e-19	0.3728756025125697	0.06217724384243698
