	AAPL	AU	SIMO	SIRI	SPY	TSLA
AAPL	0.003626731461924985	-0.0017394316548843413	0.0003407938599347566	0.0019859676636354794	0.0008322123823265768	0.0032544996025725805
AU	-0.0017394316548843413	0.013089183977628392	-0.0008900353277791634	0.0033479203905958403	-0.0007970109869558799	-0.0046864861035445324
SIMO	0.0003407938599347566	-0.0008900353277791634	0.009165805792854045	0.00020670930408645796	0.0020549739858049133	0.0004164913006030333
SIRI	0.0019859676636354794	0.0033479203905958403	0.00020670930408645796	0.015358730149543585	0.0014887051009317232	0.0012296843975155086
SPY	0.0008322123823265768	-0.0007970109869558799	0.0020549739858049133	0.0014887051009317232	0.0012923201695693273	0.002420865685659085
TSLA	0.0032544996025725805	-0.0046864861035445324	0.0004164913006030333	0.0012296843975155086	0.002420865685659085	0.026703445384803893
